incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,location_desc,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,statistical_murder_flag,loc_classfctn_desc,loc_of_occur_desc
285804767,2024-04-23T00:00:00.000,05:39:00,BROOKLYN,67,0,(null),25-44,M,BLACK,25-44,M,BLACK,1003562,180263,40.661437,-73.930391,POINT (-73.930391 40.661437),N,STREET,OUTSIDE
280500173,2024-01-13T00:00:00.000,23:59:00,MANHATTAN,34,0,(null),<18,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,1006957,255000,40.866564,-73.9179,POINT (-73.9179 40.866564),N,STREET,OUTSIDE
280872175,2024-01-20T00:00:00.000,20:30:00,BROOKLYN,75,0,(null),(null),(null),(null),25-44,M,BLACK,1017036,183890,,,,N,STREET,INSIDE
280894363,2024-01-21T00:00:00.000,02:30:00,MANHATTAN,34,0,(null),(null),(null),(null),25-44,M,WHITE HISPANIC,1005201,253699,40.862996,-73.924253,POINT (-73.924253 40.862996),N,STREET,OUTSIDE
282117921,2024-02-12T00:00:00.000,16:32:00,BRONX,44,1,(null),<18,M,BLACK HISPANIC,65+,M,WHITE HISPANIC,1007839,246906,40.844343526095244,-73.91474279614735,POINT (-73.91474279614735 40.844343526095244),Y,TRANSIT,INSIDE
281200475,2024-01-27T00:00:00.000,02:30:00,MANHATTAN,34,0,BAR/NIGHT CLUB,45-64,M,BLACK,25-44,M,BLACK,1006101,253200,40.861624,-73.921003,POINT (-73.921003 40.861624),N,COMMERCIAL,OUTSIDE
279800218,2024-01-01T00:00:00.000,08:15:00,BROOKLYN,75,0,(null),25-44,M,BLACK,45-64,M,BLACK,1011437,186306,40.678004,-73.901983,POINT (-73.901983 40.678004),N,STREET,OUTSIDE
288617787,2024-06-16T00:00:00.000,23:35:00,MANHATTAN,34,0,(null),<18,M,BLACK,45-64,M,WHITE HISPANIC,1006604,254113,40.864128,-73.919179,POINT (-73.919179 40.864128),N,STREET,OUTSIDE
288294534,2024-06-10T00:00:00.000,20:40:00,BRONX,48,0,(null),(null),(null),(null),18-24,M,BLACK,1013658,249909,40.852571,-73.893695,POINT (-73.893695 40.852571),N,STREET,OUTSIDE
287987382,2024-06-04T00:00:00.000,20:00:00,BROOKLYN,73,0,(null),(null),(null),(null),25-44,M,BLACK,1008104,184567,40.67323835262873,-73.9140061992839,POINT (-73.9140061992839 40.67323835262873),N,STREET,OUTSIDE
287671762,2024-05-29T00:00:00.000,16:15:00,QUEENS,101,2,MULTI DWELL - PUBLIC HOUS,(null),(null),(null),<18,F,BLACK,1044820,156440,40.595862,-73.781894,POINT (-73.781894 40.595862),N,HOUSING,OUTSIDE
286460100,2024-05-06T00:00:00.000,23:10:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,(null),(null),(null),25-44,M,BLACK,1010491,179121,40.658286,-73.905419,POINT (-73.905419 40.658286),N,DWELLING,OUTSIDE
287542647,2024-05-27T00:00:00.000,22:45:00,BRONX,47,0,(null),(null),(null),(null),18-24,M,BLACK,1030896,263028,40.888503,-73.831295,POINT (-73.831295 40.888503),N,STREET,OUTSIDE
289050197,2024-06-24T00:00:00.000,15:13:00,QUEENS,114,0,MULTI DWELL - PUBLIC HOUS,(null),(null),(null),<18,M,BLACK,999925,214506,40.755434,-73.943421,POINT (-73.943421 40.755434),N,HOUSING,OUTSIDE
287497158,2024-05-26T00:00:00.000,04:08:00,BROOKLYN,75,0,(null),(null),(null),(null),25-44,M,BLACK,1016459,185447,40.67563,-73.883881,POINT (-73.883881 40.67563),N,STREET,OUTSIDE
287324018,2024-05-22T00:00:00.000,22:35:00,BRONX,41,0,(null),25-44,M,BLACK,18-24,M,WHITE HISPANIC,1013901,238673,40.821729,-73.892866,POINT (-73.892866 40.821729),N,STREET,OUTSIDE
284213333,2024-03-22T00:00:00.000,19:45:00,BROOKLYN,75,0,(null),(null),(null),(null),25-44,M,BLACK,1008769,177614,40.654153,-73.911632,POINT (-73.911632 40.654153),N,STREET,OUTSIDE
289124111,2024-06-26T00:00:00.000,02:30:00,BROOKLYN,75,0,MULTI DWELL - PUBLIC HOUS,<18,M,BLACK,18-24,M,BLACK HISPANIC,1015560,183840,40.671222,-73.887128,POINT (-73.887128 40.671222),N,HOUSING,INSIDE
288365030,2024-06-11T00:00:00.000,19:58:00,MANHATTAN,14,0,(null),(null),(null),(null),25-44,M,BLACK,987564,212166,40.749022559929315,-73.98803942302837,POINT (-73.98803942302837 40.749022559929315),N,STREET,OUTSIDE
288669970,2024-06-17T00:00:00.000,21:05:00,BRONX,42,0,(null),(null),(null),(null),<18,M,WHITE HISPANIC,1009200,239357,40.823621,-73.909851,POINT (-73.909851 40.823621),Y,STREET,OUTSIDE
281577208,2024-02-02T00:00:00.000,12:02:00,BRONX,43,2,MULTI DWELL - PUBLIC HOUS,25-44,M,BLACK,25-44,M,BLACK,1020568,239896,40.825062,-73.868772,POINT (-73.868772 40.825062),N,HOUSING,OUTSIDE
280568174,2024-01-15T00:00:00.000,10:25:00,BRONX,52,0,MULTI DWELL - APT BUILD,18-24,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,1014776,254642,40.865555,-73.889635,POINT (-73.889635 40.865555),N,DWELLING,OUTSIDE
281250470,2024-01-27T00:00:00.000,18:35:00,STATEN ISLAND,120,0,(null),25-44,M,BLACK,25-44,M,BLACK,962669,173939,40.644072673643095,-74.07776561403846,POINT (-74.07776561403846 40.644072673643095),N,STREET,OUTSIDE
285259765,2024-04-12T00:00:00.000,16:50:00,BROOKLYN,75,2,MULTI DWELL - PUBLIC HOUS,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1015572,178301,40.656019,-73.887112,POINT (-73.887112 40.656019),N,HOUSING,OUTSIDE
283390056,2024-03-07T00:00:00.000,17:15:00,BROOKLYN,73,0,(null),18-24,M,BLACK,18-24,M,BLACK,1008245,183796,,,,N,STREET,OUTSIDE
281593157,2024-02-02T00:00:00.000,23:08:00,BROOKLYN,69,0,GROCERY/BODEGA,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1008632,171086,40.636236,-73.91215,POINT (-73.91215 40.636236),N,COMMERCIAL,INSIDE
286397103,2024-05-04T00:00:00.000,01:00:00,BROOKLYN,79,0,(null),(null),(null),(null),25-44,M,AMERICAN INDIAN/ALASKAN NATIVE,1001329,187143,40.680325,-73.938423,POINT (-73.938423 40.680325),N,STREET,OUTSIDE
288110775,2024-06-06T00:00:00.000,23:40:00,BRONX,48,0,(null),(null),(null),(null),25-44,M,BLACK HISPANIC,1014749,250367,40.853823,-73.889751,POINT (-73.889751 40.853823),N,STREET,OUTSIDE
287125473,2024-05-19T00:00:00.000,04:15:00,BROOKLYN,75,0,(null),25-44,M,BLACK,45-64,M,BLACK,1014584,178453,40.656439,-73.890673,POINT (-73.890673 40.656439),Y,STREET,OUTSIDE
288617787,2024-06-16T00:00:00.000,23:35:00,MANHATTAN,34,0,(null),<18,M,BLACK,45-64,M,WHITE HISPANIC,1006604,254113,40.864128,-73.919179,POINT (-73.919179 40.864128),Y,STREET,OUTSIDE
282117921,2024-02-12T00:00:00.000,16:32:00,BRONX,44,1,(null),<18,M,BLACK,<18,F,WHITE HISPANIC,1007839,246906,40.844343526095244,-73.91474279614735,POINT (-73.91474279614735 40.844343526095244),N,TRANSIT,INSIDE
286038325,2024-04-28T00:00:00.000,04:30:00,MANHATTAN,18,0,(null),18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,985147,218635,40.76677888777605,-73.99676176889756,POINT (-73.99676176889756 40.76677888777605),N,STREET,OUTSIDE
285261866,2024-04-13T00:00:00.000,04:22:00,QUEENS,103,0,BAR/NIGHT CLUB,(null),(null),(null),45-64,M,ASIAN / PACIFIC ISLANDER,1036944,194475,40.70031,-73.809958,POINT (-73.809958 40.70031),N,COMMERCIAL,INSIDE
285330920,2024-04-14T00:00:00.000,20:55:00,BRONX,42,0,(null),(null),(null),(null),<18,M,BLACK,1014170,241447,40.829342,-73.891884,POINT (-73.891884 40.829342),N,STREET,OUTSIDE
